"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 02:21:02 GMT 2023","Fri Jan 27 02:21:03 GMT 2023","809","/abctemplate","","","","","/abctemplate/testDeleteTemplateById",""
"passed","Fri Jan 27 02:20:49 GMT 2023","Fri Jan 27 02:20:51 GMT 2023","2063","/abctemplate","","","","","/abctemplate/testPutTemplates",""
"passed","Fri Jan 27 02:20:46 GMT 2023","Fri Jan 27 02:20:46 GMT 2023","408","Auth","","","","","auth",""
"passed","Fri Jan 27 02:20:49 GMT 2023","Fri Jan 27 02:20:51 GMT 2023","2632","/account","","","","","/account/testAccountReset",""
"passed","Fri Jan 27 02:21:01 GMT 2023","Fri Jan 27 02:21:02 GMT 2023","1021","/abctemplate","","","","","/abctemplate/testDeleteNewTemplateColumn",""
"passed","Fri Jan 27 02:20:55 GMT 2023","Fri Jan 27 02:20:56 GMT 2023","910","/abctemplate","","","","","/abctemplate/testAddNewTemplateColumn",""
"passed","Fri Jan 27 02:20:48 GMT 2023","Fri Jan 27 02:20:49 GMT 2023","1004","/account","","","","","/account/testAccountDelete",""
"passed","Fri Jan 27 02:20:56 GMT 2023","Fri Jan 27 02:20:58 GMT 2023","2044","/abctemplate","","","","","/abctemplate/testPutOptionToTemplate",""
"passed","Fri Jan 27 02:21:00 GMT 2023","Fri Jan 27 02:21:01 GMT 2023","921","/abctemplate","","","","","/abctemplate/testDeleteOptionToTemplate",""
"passed","Fri Jan 27 02:20:51 GMT 2023","Fri Jan 27 02:20:53 GMT 2023","2304","/abctemplate","","","","","/abctemplate/testPostCopyTemplateById",""
"passed","Fri Jan 27 02:20:46 GMT 2023","Fri Jan 27 02:20:49 GMT 2023","2593","/abctemplate","","","","","/abctemplate/testGetAllTemplates",""
"passed","Fri Jan 27 02:20:45 GMT 2023","Fri Jan 27 02:20:46 GMT 2023","1203","Auth","","","","","auth",""
"passed","Fri Jan 27 02:20:53 GMT 2023","Fri Jan 27 02:20:54 GMT 2023","830","/abctemplate","","","","","/abctemplate/testGetTemplateById",""
"passed","Fri Jan 27 02:20:46 GMT 2023","Fri Jan 27 02:20:46 GMT 2023","583","Auth","","","","","authOldAPI",""
"passed","Fri Jan 27 02:20:54 GMT 2023","Fri Jan 27 02:20:55 GMT 2023","868","/abctemplate","","","","","/abctemplate/testPostShareTemplateById",""
"passed","Fri Jan 27 02:20:52 GMT 2023","Fri Jan 27 02:20:53 GMT 2023","857","/account","","","","","/account/testAccountResetConfirm",""
"passed","Fri Jan 27 02:20:51 GMT 2023","Fri Jan 27 02:20:52 GMT 2023","826","/account","","","","","/account/testAccountResetExpiredPassword",""
"passed","Fri Jan 27 02:20:58 GMT 2023","Fri Jan 27 02:20:59 GMT 2023","872","/abctemplate","","","","","/abctemplate/testPutFunctionToOptionOfTemplate",""
"passed","Fri Jan 27 02:20:59 GMT 2023","Fri Jan 27 02:21:00 GMT 2023","897","/abctemplate","","","","","/abctemplate/testDeleteFunctionToOptionOfTemplate",""
"passed","Fri Jan 27 02:20:46 GMT 2023","Fri Jan 27 02:20:46 GMT 2023","315","Auth","","","","","authOldAPI",""
"passed","Fri Jan 27 02:20:46 GMT 2023","Fri Jan 27 02:20:48 GMT 2023","1307","/account","","","","","/account/testAccountActivate",""
