"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 17:39:06 GMT 2023","Fri Feb 03 17:39:07 GMT 2023","822","/abctemplate","","","","","/abctemplate/testAddNewTemplateColumn",""
"passed","Fri Feb 03 17:39:00 GMT 2023","Fri Feb 03 17:39:01 GMT 2023","1357","/abctemplate","","","","","/abctemplate/testGetAllTemplates",""
"passed","Fri Feb 03 17:39:07 GMT 2023","Fri Feb 03 17:39:08 GMT 2023","841","/abctemplate","","","","","/abctemplate/testPutOptionToTemplate",""
"passed","Fri Feb 03 17:39:04 GMT 2023","Fri Feb 03 17:39:05 GMT 2023","907","/abctemplate","","","","","/abctemplate/testGetTemplateById",""
"passed","Fri Feb 03 17:39:10 GMT 2023","Fri Feb 03 17:39:11 GMT 2023","900","/abctemplate","","","","","/abctemplate/testDeleteNewTemplateColumn",""
"passed","Fri Feb 03 17:39:02 GMT 2023","Fri Feb 03 17:39:04 GMT 2023","2264","/abctemplate","","","","","/abctemplate/testPostCopyTemplateById",""
"passed","Fri Feb 03 17:39:05 GMT 2023","Fri Feb 03 17:39:06 GMT 2023","919","/abctemplate","","","","","/abctemplate/testPostShareTemplateById",""
"passed","Fri Feb 03 17:39:01 GMT 2023","Fri Feb 03 17:39:02 GMT 2023","850","/abctemplate","","","","","/abctemplate/testPutTemplates",""
"passed","Fri Feb 03 17:39:10 GMT 2023","Fri Feb 03 17:39:10 GMT 2023","812","/abctemplate","","","","","/abctemplate/testDeleteOptionToTemplate",""
"passed","Fri Feb 03 17:39:08 GMT 2023","Fri Feb 03 17:39:09 GMT 2023","911","/abctemplate","","","","","/abctemplate/testPutFunctionToOptionOfTemplate",""
"passed","Fri Feb 03 17:38:59 GMT 2023","Fri Feb 03 17:39:00 GMT 2023","441","Auth","","","","","authOldAPI",""
"passed","Fri Feb 03 17:39:09 GMT 2023","Fri Feb 03 17:39:10 GMT 2023","879","/abctemplate","","","","","/abctemplate/testDeleteFunctionToOptionOfTemplate",""
"passed","Fri Feb 03 17:38:59 GMT 2023","Fri Feb 03 17:38:59 GMT 2023","487","Auth","","","","","auth",""
"passed","Fri Feb 03 17:39:11 GMT 2023","Fri Feb 03 17:39:12 GMT 2023","825","/abctemplate","","","","","/abctemplate/testDeleteTemplateById",""
