"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 19:37:30 GMT 2023","Fri Mar 10 19:37:31 GMT 2023","994","/abctemplate","","","","","/abctemplate/testPutOptionToTemplate",""
"passed","Fri Mar 10 19:37:25 GMT 2023","Fri Mar 10 19:37:26 GMT 2023","1074","/abctemplate","","","","","/abctemplate/testPutTemplates",""
"passed","Fri Mar 10 19:37:35 GMT 2023","Fri Mar 10 19:37:36 GMT 2023","1027","/abctemplate","","","","","/abctemplate/testDeleteTemplateById",""
"passed","Fri Mar 10 19:37:23 GMT 2023","Fri Mar 10 19:37:25 GMT 2023","1426","/abctemplate","","","","","/abctemplate/testGetAllTemplates",""
"passed","Fri Mar 10 19:37:29 GMT 2023","Fri Mar 10 19:37:30 GMT 2023","1025","/abctemplate","","","","","/abctemplate/testAddNewTemplateColumn",""
"passed","Fri Mar 10 19:37:34 GMT 2023","Fri Mar 10 19:37:35 GMT 2023","1010","/abctemplate","","","","","/abctemplate/testDeleteNewTemplateColumn",""
"passed","Fri Mar 10 19:37:26 GMT 2023","Fri Mar 10 19:37:27 GMT 2023","981","/abctemplate","","","","","/abctemplate/testPostCopyTemplateById",""
"passed","Fri Mar 10 19:37:27 GMT 2023","Fri Mar 10 19:37:28 GMT 2023","1048","/abctemplate","","","","","/abctemplate/testGetTemplateById",""
"passed","Fri Mar 10 19:37:23 GMT 2023","Fri Mar 10 19:37:23 GMT 2023","318","Auth","","","","","authOldAPI",""
"passed","Fri Mar 10 19:37:31 GMT 2023","Fri Mar 10 19:37:32 GMT 2023","1016","/abctemplate","","","","","/abctemplate/testPutFunctionToOptionOfTemplate",""
"passed","Fri Mar 10 19:37:32 GMT 2023","Fri Mar 10 19:37:33 GMT 2023","1059","/abctemplate","","","","","/abctemplate/testDeleteFunctionToOptionOfTemplate",""
"passed","Fri Mar 10 19:37:22 GMT 2023","Fri Mar 10 19:37:23 GMT 2023","479","Auth","","","","","auth",""
"passed","Fri Mar 10 19:37:33 GMT 2023","Fri Mar 10 19:37:34 GMT 2023","1055","/abctemplate","","","","","/abctemplate/testDeleteOptionToTemplate",""
"passed","Fri Mar 10 19:37:28 GMT 2023","Fri Mar 10 19:37:29 GMT 2023","1016","/abctemplate","","","","","/abctemplate/testPostShareTemplateById",""
