"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 02:41:10 GMT 2023","Fri Jan 27 02:41:11 GMT 2023","788","/timesheet/PRAC- 804 Validation Service-Type of Service/Type of service on the appointment changed","","","","","pre-requestSchedulingAddcourse",""
"passed","Fri Jan 27 02:41:38 GMT 2023","Fri Jan 27 02:41:38 GMT 2023","313","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","","","","","GET Timesheet convert",""
"passed","Fri Jan 27 02:39:18 GMT 2023","Fri Jan 27 02:39:23 GMT 2023","4560","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service code requires schedule conversion","","","","","POST Service code requires schedule conversion",""
"passed","Fri Jan 27 02:36:59 GMT 2023","Fri Jan 27 02:36:59 GMT 2023","253","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","","","","","POST Insert Timesheet",""
"passed","Fri Jan 27 02:40:11 GMT 2023","Fri Jan 27 02:40:12 GMT 2023","388","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Provider is not in network with the client","","","","","Default rate",""
"passed","Fri Jan 27 02:36:23 GMT 2023","Fri Jan 27 02:36:23 GMT 2023","307","/timesheet/PRAC-954 - Draft Time Sheet API - Validate Incoming Timesheet","","","","","GET Timesheet",""
"passed","Fri Jan 27 02:38:24 GMT 2023","Fri Jan 27 02:38:25 GMT 2023","464","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Service notes are required","","","","","Default rate",""
"passed","Fri Jan 27 02:41:42 GMT 2023","Fri Jan 27 02:41:42 GMT 2023","288","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","","","","","GET Timesheet convert",""
"passed","Fri Jan 27 02:40:21 GMT 2023","Fri Jan 27 02:40:22 GMT 2023","380","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Invalid authorization","","","","","Default rate",""
"passed","Fri Jan 27 02:37:44 GMT 2023","Fri Jan 27 02:37:45 GMT 2023","420","/timesheet/PRAC-1165 - Timesheets - Converted Timesheet Does Not Require Fee Schedule Id ","","","","","Default rate",""
"passed","Fri Jan 27 02:35:45 GMT 2023","Fri Jan 27 02:35:45 GMT 2023","325","/timesheet/PRAC-954 - Draft Time Sheet API - Validate Incoming Timesheet","","","","","GET Timesheet",""
