"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 20:27:19 GMT 2023","Thu Feb 02 20:27:20 GMT 2023","341","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Invalid authorization","","","","","POST Create service code",""
"passed","Thu Feb 02 20:26:54 GMT 2023","Thu Feb 02 20:26:54 GMT 2023","338","/timesheet/PRAC-806 Validation Service - Validate Duration/Duration of appointment is within authorized allowed time (per appointment)","","","","","POST Create service code",""
"passed","Thu Feb 02 20:25:50 GMT 2023","Thu Feb 02 20:25:50 GMT 2023","344","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes must be at least 140 characters","","","","","pre-requestSchedulingAddcourse",""
"passed","Thu Feb 02 20:18:48 GMT 2023","Thu Feb 02 20:18:49 GMT 2023","1098","/abctemplate","","","","","/abctemplate/testAddNewTemplateColumn",""
"passed","Thu Feb 02 20:24:38 GMT 2023","Thu Feb 02 20:24:38 GMT 2023","230","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO/403 Copy","","","","","GET Event Timesheet by Event Id",""
"passed","Thu Feb 02 20:26:44 GMT 2023","Thu Feb 02 20:26:44 GMT 2023","376","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Change Start/End Time ","","","","","pre-requestSchedulingAddcourse",""
"passed","Thu Feb 02 20:28:02 GMT 2023","Thu Feb 02 20:28:02 GMT 2023","225","/timesheet/PRAC-1185 - Update language of verification exception","","","","","POST Insert Timesheet",""
"passed","Thu Feb 02 20:22:10 GMT 2023","Thu Feb 02 20:22:11 GMT 2023","1366","/timesheet/PRAC-953 - Draft Time Sheet API - Get Timesheet List/DraftTimesheet -> Access permissions. - ZSquash1/Password1!/364908","","","","","GET Timesheet AuthMismatch",""
"passed","Thu Feb 02 20:20:07 GMT 2023","Thu Feb 02 20:20:08 GMT 2023","243","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint","","","","","POST Insert Timesheet",""
"passed","Thu Feb 02 20:28:13 GMT 2023","Thu Feb 02 20:28:13 GMT 2023","323","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","","","","","auth",""
"passed","Thu Feb 02 20:26:37 GMT 2023","Thu Feb 02 20:26:39 GMT 2023","2101","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Notes - Fields are required","","","","","POST Notes - Fields are required",""
"passed","Thu Feb 02 20:28:28 GMT 2023","Thu Feb 02 20:28:28 GMT 2023","300","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","","","","","GET Timesheet convert",""
"passed","Thu Feb 02 20:25:39 GMT 2023","Thu Feb 02 20:25:39 GMT 2023","180","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Client rates not setup","","","","","Delete custom rate",""
