"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 17:54:23 GMT 2023","Mon Sep 25 17:54:24 GMT 2023","945","/abctemplate","","","","","/abctemplate/testPostCopyTemplateById",""
"passed","Mon Sep 25 17:54:30 GMT 2023","Mon Sep 25 17:54:31 GMT 2023","825","/abctemplate","","","","","/abctemplate/testDeleteOptionToTemplate",""
"passed","Mon Sep 25 17:54:31 GMT 2023","Mon Sep 25 17:54:32 GMT 2023","894","/abctemplate","","","","","/abctemplate/testDeleteNewTemplateColumn",""
"passed","Mon Sep 25 17:54:32 GMT 2023","Mon Sep 25 17:54:33 GMT 2023","875","/abctemplate","","","","","/abctemplate/testDeleteTemplateById",""
"passed","Mon Sep 25 17:54:20 GMT 2023","Mon Sep 25 17:54:20 GMT 2023","360","Auth","","","","","auth",""
"passed","Mon Sep 25 17:54:28 GMT 2023","Mon Sep 25 17:54:29 GMT 2023","878","/abctemplate","","","","","/abctemplate/testPutFunctionToOptionOfTemplate",""
"passed","Mon Sep 25 17:54:24 GMT 2023","Mon Sep 25 17:54:25 GMT 2023","1181","/abctemplate","","","","","/abctemplate/testGetTemplateById",""
"passed","Mon Sep 25 17:54:26 GMT 2023","Mon Sep 25 17:54:27 GMT 2023","969","/abctemplate","","","","","/abctemplate/testAddNewTemplateColumn",""
"passed","Mon Sep 25 17:54:20 GMT 2023","Mon Sep 25 17:54:21 GMT 2023","364","Auth","","","","","authOldAPI",""
"passed","Mon Sep 25 17:54:21 GMT 2023","Mon Sep 25 17:54:22 GMT 2023","1505","/abctemplate","","","","","/abctemplate/testGetAllTemplates",""
"passed","Mon Sep 25 17:54:29 GMT 2023","Mon Sep 25 17:54:30 GMT 2023","879","/abctemplate","","","","","/abctemplate/testDeleteFunctionToOptionOfTemplate",""
"passed","Mon Sep 25 17:54:27 GMT 2023","Mon Sep 25 17:54:28 GMT 2023","936","/abctemplate","","","","","/abctemplate/testPutOptionToTemplate",""
"passed","Mon Sep 25 17:54:25 GMT 2023","Mon Sep 25 17:54:26 GMT 2023","1016","/abctemplate","","","","","/abctemplate/testPostShareTemplateById",""
"passed","Mon Sep 25 17:54:22 GMT 2023","Mon Sep 25 17:54:23 GMT 2023","1132","/abctemplate","","","","","/abctemplate/testPutTemplates",""
